pillar,period,pain_point,count
skincare,2020-01-06,Price,0
skincare,2020-01-06,Packaging,0
skincare,2020-01-06,Quality,0
skincare,2020-01-06,Availability,0
skincare,2020-01-06,Sustainability,0
skincare,2020-01-06,Compatibility,1
skincare,2020-01-13,Price,0
skincare,2020-01-13,Packaging,0
skincare,2020-01-13,Quality,2
skincare,2020-01-13,Availability,0
skincare,2020-01-13,Sustainability,0
skincare,2020-01-13,Compatibility,1
skincare,2020-01-20,Price,0
skincare,2020-01-20,Packaging,0
skincare,2020-01-20,Quality,0
skincare,2020-01-20,Availability,0
skincare,2020-01-20,Sustainability,0
skincare,2020-01-20,Compatibility,2
skincare,2020-02-10,Price,0
skincare,2020-02-10,Packaging,0
skincare,2020-02-10,Quality,0
skincare,2020-02-10,Availability,0
skincare,2020-02-10,Sustainability,0
skincare,2020-02-10,Compatibility,2
skincare,2020-02-17,Price,0
skincare,2020-02-17,Packaging,0
skincare,2020-02-17,Quality,0
skincare,2020-02-17,Availability,0
skincare,2020-02-17,Sustainability,0
skincare,2020-02-17,Compatibility,8
skincare,2020-02-24,Price,0
skincare,2020-02-24,Packaging,0
skincare,2020-02-24,Quality,1
skincare,2020-02-24,Availability,0
skincare,2020-02-24,Sustainability,2
skincare,2020-02-24,Compatibility,5
skincare,2020-03-02,Price,0
skincare,2020-03-02,Packaging,0
skincare,2020-03-02,Quality,1
skincare,2020-03-02,Availability,1
skincare,2020-03-02,Sustainability,1
skincare,2020-03-02,Compatibility,5
skincare,2020-03-09,Price,0
skincare,2020-03-09,Packaging,0
skincare,2020-03-09,Quality,4
skincare,2020-03-09,Availability,0
skincare,2020-03-09,Sustainability,0
skincare,2020-03-09,Compatibility,3
skincare,2020-03-23,Price,0
skincare,2020-03-23,Packaging,0
skincare,2020-03-23,Quality,3
skincare,2020-03-23,Availability,0
skincare,2020-03-23,Sustainability,0
skincare,2020-03-23,Compatibility,2
skincare,2020-03-30,Price,0
skincare,2020-03-30,Packaging,0
skincare,2020-03-30,Quality,1
skincare,2020-03-30,Availability,0
