pillar,period,term,trend_score,count
fragrance,2020-01-01,zombie,,0
fragrance,2020-01-01,zesty,,0
fragrance,2020-01-01,zero,,0
fragrance,2020-01-01,zahide,,0
fragrance,2020-01-01,yup,,0
fragrance,2020-01-01,yuck,,0
fragrance,2020-01-01,youve,,0
fragrance,2020-01-01,youtubers,,0
fragrance,2020-01-01,youtuber,,0
fragrance,2020-01-01,youtube short,,0
fragrance,2020-01-01,youtube,,0
fragrance,2020-01-01,youth,,0
fragrance,2020-01-01,youre wrong,,0
fragrance,2020-01-01,youre woman,,0
fragrance,2020-01-01,youre wearing,,0
fragrance,2020-01-01,youre wasting,,0
fragrance,2020-01-01,youre using,,0
fragrance,2020-01-01,youre ugly,,0
fragrance,2020-01-01,youre trying,,0
fragrance,2020-01-01,youre talking,,0
fragrance,2020-01-01,youre stupid,,0
fragrance,2020-01-01,youre saying,,0
fragrance,2020-01-01,youre rude,,0
fragrance,2020-01-01,youre right,,0
fragrance,2020-01-01,youre really,,0
fragrance,2020-01-01,youre racist,,0
fragrance,2020-01-01,youre putting,,0
fragrance,2020-01-01,youre pretty,,0
fragrance,2020-01-01,youre perfect,,0
fragrance,2020-01-01,youre man,,0
fragrance,2020-02-01,compliment,124999999.99999999,2
fragrance,2020-02-01,setting,89285714.28571428,2
fragrance,2020-02-01,setting spray,89285714.28571428,2
fragrance,2020-02-01,kylie,89285714.28571428,2
fragrance,2020-02-01,grandma,53571428.571428575,2
fragrance,2020-02-01,spray,17857142.857142862,2
fragrance,2020-02-01,smell like,17857142.857142862,2
fragrance,2020-02-01,acceptable,0.0,0
fragrance,2020-02-01,zesty,0.0,0
fragrance,2020-02-01,zero,0.0,0
fragrance,2020-02-01,zahide,0.0,0
fragrance,2020-02-01,yup,0.0,0
fragrance,2020-02-01,yuck,0.0,0
fragrance,2020-02-01,youve,0.0,0
fragrance,2020-02-01,youtubers,0.0,0
fragrance,2020-02-01,youtuber,0.0,0
fragrance,2020-02-01,youtube short,0.0,0
fragrance,2020-02-01,youtube,0.0,0
fragrance,2020-02-01,youth,0.0,0
fragrance,2020-02-01,youre wrong,0.0,0
fragrance,2020-02-01,youre woman,0.0,0
fragrance,2020-02-01,youre wearing,0.0,0
fragrance,2020-02-01,zombie,0.0,0
fragrance,2020-02-01,younger,0.0,0
fragrance,2020-02-01,young woman,0.0,0
fragrance,2020-02-01,young people,0.0,0
fragrance,2020-02-01,youre using,0.0,0
fragrance,2020-02-01,youre ugly,0.0,0
fragrance,2020-02-01,youre trying,0.0,0
fragrance,2020-02-01,youre talking,0.0,0
fragrance,2020-03-01,scent,499999999.99999994,1
fragrance,2020-03-01,good,499999999.99999994,1
fragrance,2020-03-01,youre wasting,0.0,0
fragrance,2020-03-01,abusive,0.0,0
fragrance,2020-03-01,accused,0.0,0
fragrance,2020-03-01,zombie,0.0,0
fragrance,2020-03-01,accent,0.0,0
fragrance,2020-03-01,accept,0.0,0
fragrance,2020-03-01,acceptable,0.0,0
fragrance,2020-03-01,accepting,0.0,0
fragrance,2020-03-01,accha,0.0,0
fragrance,2020-03-01,acche,0.0,0
fragrance,2020-03-01,accident,0.0,0
fragrance,2020-03-01,accuse,0.0,0
fragrance,2020-03-01,zesty,0.0,0
fragrance,2020-03-01,zero,0.0,0
fragrance,2020-03-01,zahide,0.0,0
fragrance,2020-03-01,yup,0.0,0
fragrance,2020-03-01,yuck,0.0,0
fragrance,2020-03-01,youve,0.0,0
fragrance,2020-03-01,youtubers,0.0,0
fragrance,2020-03-01,youtuber,0.0,0
fragrance,2020-03-01,youtube short,0.0,0
fragrance,2020-03-01,youtube,0.0,0
fragrance,2020-03-01,youth,0.0,0
fragrance,2020-03-01,youre wrong,0.0,0
fragrance,2020-03-01,youre woman,0.0,0
fragrance,2020-03-01,youre wearing,0.0,0
fragrance,2020-03-01,according,0.0,0
fragrance,2020-03-01,youre jealous,0.0,0
fragrance,2020-04-01,compliment,1.1547005223792517,1
fragrance,2020-04-01,setting spray,1.1094003752196893,1
fragrance,2020-04-01,setting,1.1094003752196893,1
fragrance,2020-04-01,kylie,1.1094003752196893,1
fragrance,2020-04-01,grandma,0.9491579806173641,1
fragrance,2020-04-01,smell like,0.7043607146418945,1
fragrance,2020-04-01,spray,0.7043607146418945,1
fragrance,2020-04-01,like,0.45883146184638673,1
fragrance,2020-04-01,zero,0.0,0
fragrance,2020-04-01,zahide,0.0,0
fragrance,2020-04-01,yup,0.0,0
fragrance,2020-04-01,yuck,0.0,0
fragrance,2020-04-01,youve,0.0,0
fragrance,2020-04-01,youtubers,0.0,0
fragrance,2020-04-01,youtuber,0.0,0
fragrance,2020-04-01,youtube short,0.0,0
fragrance,2020-04-01,youtube,0.0,0
fragrance,2020-04-01,youth,0.0,0
fragrance,2020-04-01,youre wrong,0.0,0
fragrance,2020-04-01,youre woman,0.0,0
fragrance,2020-04-01,youre wearing,0.0,0
fragrance,2020-04-01,youre wasting,0.0,0
fragrance,2020-04-01,young woman,0.0,0
fragrance,2020-04-01,young people,0.0,0
fragrance,2020-04-01,youre using,0.0,0
fragrance,2020-04-01,youre ugly,0.0,0
fragrance,2020-04-01,youre trying,0.0,0
fragrance,2020-04-01,youre talking,0.0,0
fragrance,2020-04-01,youre stupid,0.0,0
fragrance,2020-04-01,youre saying,0.0,0
fragrance,2020-05-01,wearing,35294117.64705882,3
fragrance,2020-05-01,great,35294117.64705882,3
fragrance,2020-05-01,cologne,35294117.64705882,3
fragrance,2020-05-01,tell,23529411.76470588,2
fragrance,2020-05-01,mouth,23529411.76470588,2
fragrance,2020-05-01,remember,23529411.76470588,2
fragrance,2020-05-01,stick,23529411.76470588,2
fragrance,2020-05-01,dude,23529411.76470588,2
fragrance,2020-05-01,said,11764705.88235294,1
fragrance,2020-05-01,outfit,11764705.88235294,1
fragrance,2020-05-01,wow,11764705.88235294,1
fragrance,2020-05-01,use,11764705.88235294,1
fragrance,2020-05-01,woman,11764705.88235294,1
